model,seed,ft_type,model_type,dataset,subsample_train,accuracy
qwen-7b,1048,lora,base,meta,None,30.42
qwen-7b,1048,lora,meta,meta,None,42.0
qwen-7b,512,lora,base,meta,None,38.24
qwen-7b,512,lora,meta,meta,None,51.93
qwen-7b,1056,lora,base,meta,None,27.67
qwen-7b,1056,lora,meta,meta,None,49.82
qwen-7b,4742,lora,base,meta,None,37.32
qwen-7b,4742,lora,meta,meta,None,50.0
qwen-7b,1596,lora,base,meta,None,35.94
qwen-7b,1596,lora,meta,meta,None,54.6
qwen-3b,1048,lora,base,meta,None,24.48
qwen-3b,1048,lora,meta,meta,None,52.7
qwen-3b,512,lora,base,meta,None,36.5
qwen-3b,512,lora,meta,meta,None,55.23
qwen-3b,1056,lora,base,meta,None,44.69
qwen-3b,1056,lora,meta,meta,None,57.14
qwen-3b,4742,lora,base,meta,None,30.84
qwen-3b,4742,lora,meta,meta,None,56.53
qwen-3b,1596,lora,base,meta,None,23.78
qwen-3b,1596,lora,meta,meta,None,56.88
qwen-1.5b,1048,lora,base,meta,None,30.66
qwen-1.5b,1048,lora,meta,meta,None,49.38
qwen-1.5b,512,lora,base,meta,None,35.39
qwen-1.5b,512,lora,meta,meta,None,52.47
qwen-1.5b,1056,lora,base,meta,None,27.57
qwen-1.5b,1056,lora,meta,meta,None,44.03
qwen-1.5b,4742,lora,base,meta,None,26.75
qwen-1.5b,4742,lora,meta,meta,None,44.75
qwen-1.5b,1596,lora,base,meta,None,20.47
qwen-1.5b,1596,lora,meta,meta,None,45.68
