model,model_type,relation,mean,std
qwen-1.5b,base,native language,29.112000000000002,7.635775664593612
qwen-1.5b,base,parent taxon,33.65,6.944505021958007
qwen-1.5b,base,replaced by,3.6599999999999993,1.2200000000000002
qwen-1.5b,meta,native language,62.222,2.60744510968112
qwen-1.5b,meta,parent taxon,48.998000000000005,4.493503087792417
qwen-1.5b,meta,replaced by,31.465999999999998,3.6498191736029857
qwen-3b,base,native language,51.732000000000006,9.929794559808375
qwen-3b,base,parent taxon,39.158,11.026716192956089
qwen-3b,base,replaced by,8.026,4.960512070341125
qwen-3b,meta,native language,83.462,4.265661730611088
qwen-3b,meta,parent taxon,61.784000000000006,2.56232901868593
qwen-3b,meta,replaced by,31.380000000000003,2.3444722220576644
qwen-7b,base,native language,44.348,2.873442186646532
qwen-7b,base,parent taxon,45.79,7.527459730878672
qwen-7b,base,replaced by,5.786,2.4640373373794477
qwen-7b,meta,native language,67.534,4.508007320313489
qwen-7b,meta,parent taxon,50.727999999999994,7.442275861589652
qwen-7b,meta,replaced by,39.812,5.12768173739361
